,Circuit,Width,Depth,MaxDens,AvgDens,NoP-X,NoP-Z,NoH,%SpposQ,NoOtherSG,TNoSQG,TNoCSQG,NoSWAP,NoCNOT,%QInCNOT,MaxCNOT,NoToff,%QInToff,MaxToff,NoGates,NoCGates,%SGates,NoOr,NoCOr,%QInOr,%QInCOr,AvgOrD,MaxOrD,NoM,Difficulty_Score
0,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,2
1,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,0
2,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,1
3,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,0
4,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,0
5,37,2,3,1,1.0,0,0,2,0.5,0,2,0,0,1,1.0,1,0,0.0,0,3,1,0.6667,0,0,0.0,0.0,0.0,0,0,2
6,21,3,4,1,1.0,1,0,0,0.0,1,2,0,0,2,1.0,2,0,0.0,0,4,2,0.5,0,0,0.0,0.0,0.0,0,1,1
7,20,3,3,1,1.0,0,0,0,0.0,1,1,0,0,2,1.0,2,0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0
8,20,3,3,1,1.0,0,0,0,0.0,1,1,0,0,2,1.0,2,0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0
9,20,3,3,1,1.0,0,0,0,0.0,1,1,0,0,2,1.0,2,0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0
10,20,3,3,1,1.0,0,0,0,0.0,1,1,0,0,2,1.0,2,0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0
11,6,3,7,2,1.1429,0,0,2,0.3333,2,4,1,0,3,1.0,2,0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,1
12,6,3,7,2,1.1429,0,0,2,0.3333,2,4,1,0,3,1.0,2,0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,2
13,6,3,7,2,1.1429,0,0,2,0.3333,2,4,1,0,3,1.0,2,0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,2
14,6,3,7,2,1.1429,0,0,2,0.3333,2,4,1,0,3,1.0,2,0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,1
15,6,3,7,2,1.1429,0,0,2,0.3333,2,4,1,0,3,1.0,2,0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,1
16,17,3,5,3,1.4,2,0,3,1.0,0,5,0,0,2,1.0,1,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,1
17,17,3,5,3,1.4,2,0,3,1.0,0,5,0,0,2,1.0,1,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,1
18,17,3,5,3,1.4,2,0,3,1.0,0,5,0,0,2,1.0,1,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,1
19,17,3,5,3,1.4,2,0,3,1.0,0,5,0,0,2,1.0,1,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,0
20,17,3,5,3,1.4,2,0,3,1.0,0,5,0,0,2,1.0,1,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,2
21,30,2,8,2,0.875,0,1,2,0.5,2,5,0,0,2,1.0,2,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,1
22,30,2,8,2,0.875,0,1,2,0.5,2,5,0,0,2,1.0,2,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,0
23,30,2,8,2,0.875,0,1,2,0.5,2,5,0,0,2,1.0,2,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,2
24,30,2,8,2,0.875,0,1,2,0.5,2,5,0,0,2,1.0,2,0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,2,0
25,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1
26,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,2
27,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1
28,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,2
29,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,1
30,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,0
31,48,5,14,3,1.0714,4,0,0,0.0,5,9,0,0,6,1.0,2,0,0.0,0,15,6,0.6,0,0,0.0,0.0,0.0,0,5,0
32,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,2
33,28,4,10,4,1.5,1,0,3,0.75,3,7,7,0,0,0.0,0,0,0.0,0,15,7,0.4667,1,0,0.75,0.0,3.0,3,3,1
