,Circuit,Width,Depth,MaxDens,AvgDens,NoP-X,NoP-Z,TNo-P,NoH,%SpposQ,NoOtherSG,TNoSQG,TNoCSQG,NoSWAP,NoCNOT,%QInCNOT,AvgCNOT,MaxCNOT,NoToff,%QInToff,AvgToff,MaxToff,NoGates,NoCGates,%SGates,NoOr,NoCOr,%QInOr,%QInCOr,AvgOrD,MaxOrD,NoM,%QM,cluster,TotalTime,Minutes,Seconds,Num_Correct,Num_Incorrect,Num_Idk,Num_NotAnswered,CorrectnessEfficiency,IncorrectnessEfficiency,IdkEfficiency,NotAnsweredEfficiency
0,23,3,3,1,1.0,1,0,1,0,0.0,1,2,0,0,0,0.0,0.0,0,1,1.0,0.3333,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,0.3333,1,7.416666666666667,7,25,0,3,3,0,0.0,0.4044943820224719,0.4044943820224719,0.0
1,23,3,3,1,1.0,1,0,1,0,0.0,1,2,0,0,0,0.0,0.0,0,1,1.0,0.3333,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,0.3333,1,4.283333333333333,4,17,3,1,2,0,0.7003891050583658,0.23346303501945526,0.4669260700389105,0.0
2,23,3,3,1,1.0,1,0,1,0,0.0,1,2,0,0,0,0.0,0.0,0,1,1.0,0.3333,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,0.3333,1,10.35,10,21,3,2,1,0,0.2898550724637681,0.1932367149758454,0.0966183574879227,0.0
3,23,3,3,1,1.0,1,0,1,0,0.0,1,2,0,0,0,0.0,0.0,0,1,1.0,0.3333,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,0.3333,1,7.2,7,12,5,1,0,0,0.6944444444444444,0.1388888888888889,0.0,0.0
4,23,3,3,1,1.0,1,0,1,0,0.0,1,2,0,0,0,0.0,0.0,0,1,1.0,0.3333,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,0.3333,1,2.6166666666666667,2,37,5,1,0,0,1.910828025477707,0.38216560509554137,0.0,0.0
5,37,2,3,1,1.0,0,0,0,2,0.5,0,2,0,0,1,1.0,0.5,1,0,0.0,0.0,0,3,1,0.6667,0,0,0.0,0.0,0.0,0,0,0.0,1,9.65,9,39,0,0,6,0,0.0,0.0,0.6217616580310881,0.0
6,21,3,4,1,1.0,1,0,1,0,0.0,1,2,0,0,2,1.0,0.6667,2,0,0.0,0.0,0,4,2,0.5,0,0,0.0,0.0,0.0,0,1,0.3333,1,9.116666666666667,9,7,3,3,0,0,0.3290676416819013,0.3290676416819013,0.0,0.0
7,20,3,3,1,1.0,0,0,0,0,0.0,1,1,0,0,2,1.0,0.6667,2,0,0.0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0.3333,1,11.883333333333333,11,53,6,0,0,0,0.5049088359046283,0.0,0.0,0.0
8,20,3,3,1,1.0,0,0,0,0,0.0,1,1,0,0,2,1.0,0.6667,2,0,0.0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0.3333,1,6.95,6,57,6,0,0,0,0.8633093525179856,0.0,0.0,0.0
9,20,3,3,1,1.0,0,0,0,0,0.0,1,1,0,0,2,1.0,0.6667,2,0,0.0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0.3333,1,6.183333333333334,6,11,6,0,0,0,0.9703504043126684,0.0,0.0,0.0
10,20,3,3,1,1.0,0,0,0,0,0.0,1,1,0,0,2,1.0,0.6667,2,0,0.0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,0.3333,1,7.566666666666666,7,34,5,1,0,0,0.6607929515418502,0.13215859030837004,0.0,0.0
11,6,3,7,2,1.1429,0,0,0,2,0.3333,2,4,1,0,3,1.0,1.0,2,0,0.0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,0.6667,2,7.983333333333333,7,59,3,2,1,0,0.3757828810020877,0.25052192066805845,0.12526096033402923,0.0
12,6,3,7,2,1.1429,0,0,0,2,0.3333,2,4,1,0,3,1.0,1.0,2,0,0.0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,0.6667,2,2.966666666666667,2,58,0,2,4,0,0.0,0.6741573033707865,1.348314606741573,0.0
13,6,3,7,2,1.1429,0,0,0,2,0.3333,2,4,1,0,3,1.0,1.0,2,0,0.0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,0.6667,2,11.283333333333333,11,17,1,5,0,0,0.08862629246676514,0.4431314623338257,0.0,0.0
14,6,3,7,2,1.1429,0,0,0,2,0.3333,2,4,1,0,3,1.0,1.0,2,0,0.0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,0.6667,2,13.116666666666667,13,7,4,2,0,0,0.30495552731893266,0.15247776365946633,0.0,0.0
15,6,3,7,2,1.1429,0,0,0,2,0.3333,2,4,1,0,3,1.0,1.0,2,0,0.0,0.0,0,8,4,0.5,0,0,0.0,0.0,0.0,0,2,0.6667,2,13.55,13,33,5,1,0,0,0.36900369003690037,0.07380073800738007,0.0,0.0
16,17,3,5,3,1.4,2,0,2,3,1.0,0,5,0,0,2,1.0,0.6667,1,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,0.0,2,13.8,13,48,6,0,0,0,0.43478260869565216,0.0,0.0,0.0
17,17,3,5,3,1.4,2,0,2,3,1.0,0,5,0,0,2,1.0,0.6667,1,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,0.0,2,8.95,8,57,2,4,0,0,0.223463687150838,0.446927374301676,0.0,0.0
18,17,3,5,3,1.4,2,0,2,3,1.0,0,5,0,0,2,1.0,0.6667,1,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,0.0,2,12.316666666666666,12,19,3,2,1,0,0.2435723951285521,0.16238159675236807,0.08119079837618404,0.0
19,17,3,5,3,1.4,2,0,2,3,1.0,0,5,0,0,2,1.0,0.6667,1,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,0.0,2,11.65,11,39,6,0,0,0,0.5150214592274678,0.0,0.0,0.0
20,17,3,5,3,1.4,2,0,2,3,1.0,0,5,0,0,2,1.0,0.6667,1,0,0.0,0.0,0,7,2,0.7143,0,0,0.0,0.0,0.0,0,0,0.0,2,21.466666666666665,21,28,3,0,0,3,0.13975155279503107,0.0,0.0,0.13975155279503107
