,Circuit,Width,Depth,MaxDens,AvgDens,NoP-X,NoP-Z,NoH,%SpposQ,NoOtherSG,TNoSQG,TNoCSQG,NoSWAP,NoCNOT,%QInCNOT,MaxCNOT,NoToff,%QInToff,MaxToff,NoGates,NoCGates,%SGates,NoOr,NoCOr,%QInOr,%QInCOr,AvgOrD,MaxOrD,NoM,Difficulty_Score
0,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,8.298373313120505
1,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,4.258805276786588
2,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,5.196218002711372
3,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,1.8532735775526137
4,23,3,3,1,1.0,1,0,0,0.0,1,2,0,0,0,0.0,0,1,1.0,1,3,1,0.6667,0,0,0.0,0.0,0.0,0,1,1.6666666666666663
5,37,2,3,1,1.0,0,0,2,0.5,0,2,0,0,1,1.0,1,0,0.0,0,3,1,0.6667,0,0,0.0,0.0,0.0,0,0,8.265266674517871
6,21,3,4,1,1.0,1,0,0,0.0,1,2,0,0,2,1.0,2,0,0.0,0,4,2,0.5,0,0,0.0,0.0,0.0,0,1,5.0278428815955145
7,20,3,3,1,1.0,0,0,0,0.0,1,1,0,0,2,1.0,2,0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,4.531233282435411
8,20,3,3,1,1.0,0,0,0,0.0,1,1,0,0,2,1.0,2,0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,1.6666666666666663
9,20,3,3,1,1.0,0,0,0,0.0,1,1,0,0,2,1.0,2,0,0.0,0,3,2,0.3333,0,0,0.0,0.0,0.0,0,1,1.6666666666666663
